[Epoch 104/1000] Loss: 0.9111  Acc: 66.43%
[Epoch 105/1000] Loss: 0.9139  Acc: 66.53%
[Epoch 106/1000] Loss: 0.9130  Acc: 66.32%
[Epoch 107/1000] Loss: 0.9049  Acc: 66.88%
[Epoch 108/1000] Loss: 0.9023  Acc: 66.85%
[Epoch 109/1000] Loss: 0.9020  Acc: 66.97%
[Epoch 110/1000] Loss: 0.9011  Acc: 66.90%
[Epoch 111/1000] Loss: 0.9035  Acc: 66.87%
[Epoch 112/1000] Loss: 0.8975  Acc: 66.97%
[Epoch 113/1000] Loss: 0.8980  Acc: 67.06%
[Epoch 114/1000] Loss: 0.9010  Acc: 66.80%
[Epoch 115/1000] Loss: 0.8981  Acc: 66.81%
[Epoch 116/1000] Loss: 0.8965  Acc: 67.13%
[Epoch 117/1000] Loss: 0.8989  Acc: 66.85%
[Epoch 118/1000] Loss: 0.8948  Acc: 67.21%
[Epoch 119/1000] Loss: 0.8895  Acc: 67.16%
[Epoch 120/1000] Loss: 0.8932  Acc: 67.11%
[Epoch 121/1000] Loss: 0.8971  Acc: 67.23%
[Epoch 122/1000] Loss: 0.8840  Acc: 67.79%
[Epoch 123/1000] Loss: 0.8816  Acc: 67.49%
[Epoch 124/1000] Loss: 0.8812  Acc: 67.67%
[Epoch 125/1000] Loss: 0.8767  Acc: 67.90%
[Epoch 126/1000] Loss: 0.8854  Acc: 67.38%
[Epoch 127/1000] Loss: 0.8832  Acc: 67.50%
[Epoch 128/1000] Loss: 0.8816  Acc: 67.62%
[Epoch 129/1000] Loss: 0.8788  Acc: 67.58%
[Epoch 130/1000] Loss: 0.8849  Acc: 67.46%
[Epoch 131/1000] Loss: 0.8680  Acc: 68.07%
[Epoch 132/1000] Loss: 0.8788  Acc: 67.89%
[Epoch 133/1000] Loss: 0.8731  Acc: 67.78%
[Epoch 134/1000] Loss: 0.8730  Acc: 67.89%
[Epoch 135/1000] Loss: 0.8765  Acc: 67.82%
[Epoch 136/1000] Loss: 0.8804  Acc: 67.62%
[Epoch 137/1000] Loss: 0.8744  Acc: 67.72%
[Epoch 138/1000] Loss: 0.8686  Acc: 68.07%
[Epoch 139/1000] Loss: 0.8767  Acc: 67.60%
[Epoch 140/1000] Loss: 0.8684  Acc: 68.06%
[Epoch 141/1000] Loss: 0.8628  Acc: 68.03%
[Epoch 142/1000] Loss: 0.8598  Acc: 68.49%
[Epoch 143/1000] Loss: 0.8621  Acc: 68.39%
[Epoch 144/1000] Loss: 0.8600  Acc: 68.39%
[Epoch 145/1000] Loss: 0.8568  Acc: 68.45%
[Epoch 146/1000] Loss: 0.8591  Acc: 68.53%
[Epoch 147/1000] Loss: 0.8603  Acc: 68.17%
[Epoch 148/1000] Loss: 0.8610  Acc: 68.48%
[Epoch 149/1000] Loss: 0.8572  Acc: 68.61%
[Epoch 150/1000] Loss: 0.8669  Acc: 68.19%
[Epoch 151/1000] Loss: 0.8490  Acc: 69.02%
[Epoch 152/1000] Loss: 0.8577  Acc: 68.27%
[Epoch 153/1000] Loss: 0.8536  Acc: 68.46%
[Epoch 154/1000] Loss: 0.8515  Acc: 68.79%
[Epoch 155/1000] Loss: 0.8431  Acc: 68.81%
[Epoch 156/1000] Loss: 0.8424  Acc: 68.99%
[Epoch 157/1000] Loss: 0.8361  Acc: 69.13%
[Epoch 158/1000] Loss: 0.8430  Acc: 68.73%
[Epoch 159/1000] Loss: 0.8408  Acc: 69.07%
[Epoch 160/1000] Loss: 0.8421  Acc: 68.82%
[Epoch 161/1000] Loss: 0.8378  Acc: 69.35%
[Epoch 162/1000] Loss: 0.8369  Acc: 69.09%
[Epoch 163/1000] Loss: 0.8300  Acc: 69.38%
[Epoch 164/1000] Loss: 0.8316  Acc: 69.25%
[Epoch 165/1000] Loss: 0.8347  Acc: 69.36%
[Epoch 166/1000] Loss: 0.8286  Acc: 69.39%
[Epoch 167/1000] Loss: 0.8244  Acc: 69.60%
[Epoch 168/1000] Loss: 0.8261  Acc: 69.50%
[Epoch 169/1000] Loss: 0.8308  Acc: 69.26%
[Epoch 170/1000] Loss: 0.8217  Acc: 69.40%
[Epoch 171/1000] Loss: 0.8170  Acc: 69.63%
[Epoch 172/1000] Loss: 0.8026  Acc: 70.55%
[Epoch 173/1000] Loss: 0.7957  Acc: 70.71%
[Epoch 174/1000] Loss: 0.7789  Acc: 71.16%
[Epoch 175/1000] Loss: 0.7380  Acc: 72.57%
[Epoch 176/1000] Loss: 0.7257  Acc: 72.67%
[Epoch 177/1000] Loss: 0.7072  Acc: 73.80%
[Epoch 178/1000] Loss: 0.6947  Acc: 74.17%
[Epoch 179/1000] Loss: 0.6973  Acc: 74.03%
[Epoch 180/1000] Loss: 0.6934  Acc: 74.18%
[Epoch 181/1000] Loss: 0.6928  Acc: 74.34%
[Epoch 182/1000] Loss: 0.6878  Acc: 74.31%
[Epoch 183/1000] Loss: 0.6824  Acc: 74.66%
[Epoch 184/1000] Loss: 0.6805  Acc: 74.76%
[Epoch 185/1000] Loss: 0.6858  Acc: 74.31%
[Epoch 186/1000] Loss: 0.6844  Acc: 74.55%
[Epoch 187/1000] Loss: 0.6822  Acc: 74.57%
[Epoch 188/1000] Loss: 0.6831  Acc: 74.65%
[Epoch 189/1000] Loss: 0.6744  Acc: 75.13%
[Epoch 190/1000] Loss: 0.6787  Acc: 74.84%
[Epoch 191/1000] Loss: 0.6712  Acc: 74.99%
[Epoch 192/1000] Loss: 0.6792  Acc: 74.78%
[Epoch 193/1000] Loss: 0.6780  Acc: 74.80%
[Epoch 194/1000] Loss: 0.6876  Acc: 74.55%
[Epoch 195/1000] Loss: 0.6732  Acc: 75.05%
[Epoch 196/1000] Loss: 0.6758  Acc: 74.79%
[Epoch 197/1000] Loss: 0.6733  Acc: 75.21%
[Epoch 198/1000] Loss: 0.6692  Acc: 75.06%
[Epoch 199/1000] Loss: 0.6740  Acc: 74.82%
[Epoch 200/1000] Loss: 0.6710  Acc: 74.93%
[Epoch 201/1000] Loss: 0.6788  Acc: 74.88%
[Epoch 202/1000] Loss: 0.6800  Acc: 74.75%
[Epoch 203/1000] Loss: 0.6757  Acc: 75.05%
[Epoch 204/1000] Loss: 0.6681  Acc: 75.26%
[Epoch 205/1000] Loss: 0.6782  Acc: 74.93%
[Epoch 206/1000] Loss: 0.6710  Acc: 75.00%
[Epoch 207/1000] Loss: 0.6684  Acc: 75.05%
[Epoch 208/1000] Loss: 0.6707  Acc: 75.30%
[Epoch 209/1000] Loss: 0.6684  Acc: 75.12%
[Epoch 210/1000] Loss: 0.6648  Acc: 75.29%
[Epoch 211/1000] Loss: 0.6655  Acc: 75.25%
[Epoch 212/1000] Loss: 0.6634  Acc: 75.26%
[Epoch 213/1000] Loss: 0.6707  Acc: 75.20%
[Epoch 214/1000] Loss: 0.6630  Acc: 75.30%
[Epoch 215/1000] Loss: 0.6704  Acc: 75.14%
[Epoch 216/1000] Loss: 0.6632  Acc: 75.34%
[Epoch 217/1000] Loss: 0.7114  Acc: 73.74%
[Epoch 218/1000] Loss: 0.6757  Acc: 75.03%
[Epoch 219/1000] Loss: 0.6768  Acc: 74.74%
[Epoch 220/1000] Loss: 0.6732  Acc: 74.93%
[Epoch 221/1000] Loss: 0.6718  Acc: 75.11%
[Epoch 222/1000] Loss: 0.6664  Acc: 75.23%
[Epoch 223/1000] Loss: 0.6659  Acc: 75.25%
[Epoch 224/1000] Loss: 0.6612  Acc: 75.36%
[Epoch 225/1000] Loss: 0.6634  Acc: 75.35%
[Epoch 226/1000] Loss: 0.6505  Acc: 75.79%
[Epoch 227/1000] Loss: 0.6628  Acc: 75.33%
[Epoch 228/1000] Loss: 0.6601  Acc: 75.49%
[Epoch 229/1000] Loss: 0.6607  Acc: 75.34%
[Epoch 230/1000] Loss: 0.6642  Acc: 75.31%
[Epoch 231/1000] Loss: 0.6627  Acc: 75.24%
[Epoch 232/1000] Loss: 0.6569  Acc: 75.61%
[Epoch 233/1000] Loss: 0.6570  Acc: 75.46%
[Epoch 234/1000] Loss: 0.6589  Acc: 75.61%
[Epoch 235/1000] Loss: 0.6567  Acc: 75.63%
[Epoch 236/1000] Loss: 0.6569  Acc: 75.33%
[Epoch 237/1000] Loss: 0.6565  Acc: 75.56%
[Epoch 238/1000] Loss: 0.6518  Acc: 75.74%
[Epoch 239/1000] Loss: 0.6574  Acc: 75.43%
[Epoch 240/1000] Loss: 0.6563  Acc: 75.41%
[Epoch 241/1000] Loss: 0.6555  Acc: 75.54%
[Epoch 242/1000] Loss: 0.6499  Acc: 75.71%
[Epoch 243/1000] Loss: 0.6515  Acc: 75.69%
[Epoch 244/1000] Loss: 0.6550  Acc: 75.44%
[Epoch 245/1000] Loss: 0.6438  Acc: 76.01%
[Epoch 246/1000] Loss: 0.6610  Acc: 75.37%
[Epoch 247/1000] Loss: 0.6515  Acc: 75.67%
[Epoch 248/1000] Loss: 0.6532  Acc: 75.77%
[Epoch 249/1000] Loss: 0.6671  Acc: 75.07%
[Epoch 250/1000] Loss: 0.6501  Acc: 75.46%
[Epoch 251/1000] Loss: 0.6614  Acc: 75.35%
[Epoch 252/1000] Loss: 0.6558  Acc: 75.53%
[Epoch 253/1000] Loss: 0.6490  Acc: 75.73%
[Epoch 254/1000] Loss: 0.6498  Acc: 75.64%
[Epoch 255/1000] Loss: 0.6495  Acc: 75.78%
[Epoch 256/1000] Loss: 0.6562  Acc: 75.65%
[Epoch 257/1000] Loss: 0.6475  Acc: 76.02%
[Epoch 258/1000] Loss: 0.6506  Acc: 75.78%
[Epoch 259/1000] Loss: 0.6501  Acc: 75.72%
[Epoch 260/1000] Loss: 0.6431  Acc: 76.08%
[Epoch 261/1000] Loss: 0.6455  Acc: 75.97%
[Epoch 262/1000] Loss: 0.6561  Acc: 75.35%
[Epoch 263/1000] Loss: 0.6494  Acc: 75.69%
[Epoch 264/1000] Loss: 0.6482  Acc: 75.80%
[Epoch 265/1000] Loss: 0.6520  Acc: 75.71%
[Epoch 266/1000] Loss: 0.6489  Acc: 75.92%
[Epoch 267/1000] Loss: 0.6554  Acc: 75.62%
[Epoch 268/1000] Loss: 0.6527  Acc: 75.74%
[Epoch 269/1000] Loss: 0.6477  Acc: 75.69%
[Epoch 270/1000] Loss: 0.6565  Acc: 75.48%
[Epoch 271/1000] Loss: 0.6497  Acc: 75.84%
[Epoch 272/1000] Loss: 0.6432  Acc: 76.07%
[Epoch 273/1000] Loss: 0.6428  Acc: 75.90%
[Epoch 274/1000] Loss: 0.6471  Acc: 75.78%
[Epoch 275/1000] Loss: 0.6448  Acc: 75.79%
[Epoch 276/1000] Loss: 0.6509  Acc: 75.74%
[Epoch 277/1000] Loss: 0.6419  Acc: 76.05%
